Model,Bal Acc,F1 (Anomaly),ROC-AUC,Dataset,Test Condition
Isolation Forest,0.5,0.9655172413793104,0.9644642857142858,CWRU_12k,Load_0HP
One-Class SVM,0.5,0.9655172413793104,0.9249999999999999,CWRU_12k,Load_0HP
AE (Média + 2σ),0.5,0.9655172413793104,1.0,CWRU_12k,Load_0HP
AE (Percentil 99),0.5,0.9655172413793104,1.0,CWRU_12k,Load_0HP
AE (Mediana + 3*MAD),0.5,0.9655172413793104,1.0,CWRU_12k,Load_0HP
Isolation Forest,1.0,1.0,1.0,CWRU_12k,Load_1HP
One-Class SVM,0.5,0.9333333333333333,1.0,CWRU_12k,Load_1HP
AE (Média + 2σ),0.5,0.9333333333333333,1.0,CWRU_12k,Load_1HP
AE (Percentil 99),0.7,0.958904109589041,1.0,CWRU_12k,Load_1HP
AE (Mediana + 3*MAD),0.5,0.9333333333333333,1.0,CWRU_12k,Load_1HP
Isolation Forest,1.0,1.0,1.0,CWRU_12k,Load_2HP
One-Class SVM,0.84375,0.9781659388646288,1.0,CWRU_12k,Load_2HP
AE (Média + 2σ),0.98125,0.9973285841495992,1.0,CWRU_12k,Load_2HP
AE (Percentil 99),0.98125,0.9973285841495992,1.0,CWRU_12k,Load_2HP
AE (Mediana + 3*MAD),0.9625,0.9946714031971581,1.0,CWRU_12k,Load_2HP
Isolation Forest,0.95625,0.9937888198757764,1.0,CWRU_12k,Load_3HP
One-Class SVM,0.5,0.9333333333333333,1.0,CWRU_12k,Load_3HP
AE (Média + 2σ),0.5875,0.9443507588532883,1.0,CWRU_12k,Load_3HP
AE (Percentil 99),0.68125,0.9564474807856533,1.0,CWRU_12k,Load_3HP
AE (Mediana + 3*MAD),0.5375,0.9380234505862647,1.0,CWRU_12k,Load_3HP
Isolation Forest,0.75,0.6666666666666666,0.52,HUST_Gearbox,Cond_20_0
One-Class SVM,0.5,0.8,0.5549999999999999,HUST_Gearbox,Cond_20_0
