Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Diagnosis,Load_0HP,Random Forest,0.8589912280701755,0.8589855246893122,0.9563722186563971
CWRU_12k,Diagnosis,Load_0HP,SVM,0.803874269005848,0.7971949019915647,0.9036465146606354
CWRU_12k,Diagnosis,Load_0HP,XGBoost,0.8447368421052632,0.8406706218413535,0.9504656925172008
CWRU_12k,Diagnosis,Load_0HP,TabNet,0.8376461988304094,0.8319188252223967,0.9263562064035428
CWRU_12k,Diagnosis,Load_1HP,Random Forest,0.9262426900584795,0.9258929130082043,0.9893135329265192
CWRU_12k,Diagnosis,Load_1HP,SVM,0.9263888888888889,0.9260818611562206,0.9722335685227562
CWRU_12k,Diagnosis,Load_1HP,XGBoost,0.9468567251461988,0.9471602212946657,0.9940218662598526
CWRU_12k,Diagnosis,Load_1HP,TabNet,0.9401315789473684,0.9402389239415703,0.9785794876684464
CWRU_12k,Diagnosis,Load_2HP,Random Forest,0.9959795321637427,0.9959794592647996,0.9997861683193491
CWRU_12k,Diagnosis,Load_2HP,SVM,0.9538742690058479,0.9531034916046293,0.9961755339435545
CWRU_12k,Diagnosis,Load_2HP,XGBoost,0.9031250000000001,0.9210973585620953,0.9978422959572845
CWRU_12k,Diagnosis,Load_2HP,TabNet,0.9761695906432748,0.9757141244734643,0.9950035596236969
CWRU_12k,Diagnosis,Load_3HP,Random Forest,0.8521198830409357,0.8539671288654301,0.9674595251716247
CWRU_12k,Diagnosis,Load_3HP,SVM,0.9126461988304093,0.9134304320311859,0.972650616577676
CWRU_12k,Diagnosis,Load_3HP,XGBoost,0.8852339181286549,0.8868519331311823,0.9660184337655733
CWRU_12k,Diagnosis,Load_3HP,TabNet,0.9131578947368422,0.9149964844113011,0.9573342868039665
CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,Random Forest,0.7999999999999999,0.7802197802197801,0.8883333333333333
CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,SVM,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,XGBoost,0.8333333333333334,0.8222222222222223,0.875
CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,TabNet,0.7000000000000001,0.7022222222222222,0.875
CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,Random Forest,0.9166666666666666,0.9365079365079364,1.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,SVM,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,XGBoost,0.7333333333333334,0.611111111111111,1.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,TabNet,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,Random Forest,0.9166666666666666,0.9074630330997054,0.9909313725490195
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,SVM,0.9523809523809524,0.9584859584859585,0.9990196078431373
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,XGBoost,0.8833333333333333,0.8688880267827637,0.9586134453781513
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,TabNet,0.8619047619047618,0.8597111700559976,0.9342086834733894
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,Random Forest,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,SVM,0.9500000000000001,0.9497171590194847,1.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,XGBoost,0.9833333333333334,0.9833229101521784,0.9995833333333334
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,TabNet,0.85,0.844988344988345,0.9566666666666667
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,Random Forest,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,SVM,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,XGBoost,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,TabNet,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_3HP_Sev_0.014,Random Forest,0.8333333333333334,0.830322559645868,0.9920833333333333
CWRU_48k,Diagnosis,Load_3HP_Sev_0.014,SVM,0.9666666666666667,0.9665831244778612,1.0
CWRU_48k,Diagnosis,Load_3HP_Sev_0.014,XGBoost,0.9666666666666667,0.9665831244778613,0.9770833333333333
CWRU_48k,Diagnosis,Load_3HP_Sev_0.014,TabNet,0.8833333333333333,0.8838624338624338,0.9745833333333334
CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,Random Forest,0.0,0.0,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,SVM,0.0,0.0,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,XGBoost,0.0,0.0,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,TabNet,1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,Random Forest,0.9833333333333334,0.9833229101521784,1.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,SVM,0.9833333333333334,0.9833229101521784,1.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,XGBoost,0.8333333333333334,0.8222222222222223,0.9991666666666666
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,TabNet,0.8833333333333333,0.8851917026609075,0.9420833333333333
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,Random Forest,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,SVM,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,XGBoost,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,TabNet,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,Random Forest,0.9833333333333334,0.9833229101521784,0.9950000000000001
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,SVM,0.85,0.8427788523533204,0.99375
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,XGBoost,0.9333333333333332,0.9315770677086616,0.9925
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,TabNet,0.9666666666666667,0.9661959777492511,0.975
CWRU_48k,Diagnosis,Load_3HP_Sev_0.007,Random Forest,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_3HP_Sev_0.007,SVM,0.8333333333333334,0.8222222222222223,0.9975
CWRU_48k,Diagnosis,Load_3HP_Sev_0.007,XGBoost,0.9333333333333332,0.9326599326599326,1.0
CWRU_48k,Diagnosis,Load_3HP_Sev_0.007,TabNet,1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_3HP_Sev_0.021,Random Forest,0.8333333333333334,0.8174603174603176,1.0
CWRU_48k,Diagnosis,Load_3HP_Sev_0.021,SVM,0.5499999999999999,0.5156325156325156,0.805
CWRU_48k,Diagnosis,Load_3HP_Sev_0.021,XGBoost,0.7999999999999999,0.7726625533934505,0.99125
CWRU_48k,Diagnosis,Load_3HP_Sev_0.021,TabNet,1.0,1.0,1.0
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Random Forest,0.6375,0.5868298368298368,0.9710714285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,SVM,0.6375,0.5762882447665056,0.8846428571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,XGBoost,0.625,0.5657894736842105,0.9285714285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,TabNet,0.6875,0.615507299717826,0.8935714285714286
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,0.9,0.8993314439706955,0.9934821428571429
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,SVM,0.8375,0.8389557226399331,0.9753571428571429
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,XGBoost,0.8875000000000001,0.8900092253807425,0.98875
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,TabNet,0.7749999999999999,0.7778409090909091,0.9550000000000001
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Random Forest,0.8375,0.7949701619778345,0.9328571428571428
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,SVM,0.825,0.811774371700001,0.98375
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,XGBoost,0.6125,0.5391101953601953,0.9767857142857143
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,TabNet,0.825,0.8126929642947949,0.9875
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,0.925,0.9220556404379934,0.9908928571428572
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,SVM,0.825,0.8277777777777777,0.9810714285714286
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,XGBoost,0.8875,0.8904135338345864,0.9782142857142857
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,TabNet,0.8625,0.8641604010025062,0.9730357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Random Forest,1.0,1.0,1.0
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,SVM,0.7875000000000001,0.7641641983747247,0.9923214285714286
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,XGBoost,0.95,0.9479166666666667,1.0
