Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Detection,Load_0HP,Random Forest,0.5,0.0,0.9666666666666667
CWRU_12k,Detection,Load_0HP,SVM,0.9666666666666667,0.6666666666666666,0.9666666666666667
CWRU_12k,Detection,Load_0HP,XGBoost,0.5,0.0,0.9666666666666666
CWRU_12k,Detection,Load_0HP,TabNet,0.9666666666666667,0.6666666666666666,0.9666666666666667
CWRU_12k,Detection,Load_1HP,Random Forest,0.7953125000000001,0.574468085106383,0.9375
CWRU_12k,Detection,Load_1HP,SVM,0.9375,0.6666666666666666,0.9375
CWRU_12k,Detection,Load_1HP,XGBoost,0.5875,0.2857142857142857,0.9375
CWRU_12k,Detection,Load_1HP,TabNet,0.9375,0.6666666666666666,0.9375
CWRU_12k,Detection,Load_2HP,Random Forest,0.9320312500000001,0.6638655462184874,0.9375
CWRU_12k,Detection,Load_2HP,SVM,0.9375,0.6666666666666666,0.9375
CWRU_12k,Detection,Load_2HP,XGBoost,0.6859375,0.4594594594594595,0.9375
CWRU_12k,Detection,Load_2HP,TabNet,0.9375,0.6666666666666666,0.9375
CWRU_12k,Detection,Load_3HP,Random Forest,0.54921875,0.1836734693877551,0.9375
CWRU_12k,Detection,Load_3HP,SVM,0.9375,0.6666666666666666,0.9375
CWRU_12k,Detection,Load_3HP,XGBoost,0.68046875,0.4520547945205479,0.9375
CWRU_12k,Detection,Load_3HP,TabNet,0.9375,0.6666666666666666,0.9375
UOEMD,Detection,Load_Loaded_Speed_15Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_15Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_15Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_15Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,1.0,1.0,0.9999999999999999
UOEMD,Detection,Load_Loaded_Speed_Dec_45_to_15Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_45_to_15Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_45_to_15Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_15Hz,Random Forest,0.9928571428571429,0.9523809523809523,0.9999999999999999
UOEMD,Detection,Load_No_Load_Speed_15Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_15Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_15Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_45_to_15Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_45_to_15Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_45_to_15Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_30Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_30Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_30Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_30Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_60_to_30Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_60_to_30Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_60_to_30Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_60_to_30Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_30Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_30Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_30Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_30Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_60_to_30Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_60_to_30Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_60_to_30Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_60_to_30Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_45Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_45Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_45Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_45Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_15_to_45Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_15_to_45Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_15_to_45Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_15_to_45Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_45Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_45Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_45Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_45Hz,TabNet,1.0,1.0,1.0
