Dataset,Task,Test Condition,Pipeline,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Diagnosis,Load_0HP,time_and_frequency,Random Forest,0.833625730994152,0.8335166651701982,0.9317280582893548
CWRU_12k,Diagnosis,Load_0HP,time_and_frequency,SVM,0.783187134502924,0.7808187091533219,0.8973159439927733
CWRU_12k,Diagnosis,Load_0HP,time_and_frequency,XGBoost,0.8401315789473685,0.8395796013375213,0.93438966657837
CWRU_12k,Diagnosis,Load_1HP,time_and_frequency,Random Forest,0.8847222222222222,0.8838697389822978,0.9797536867531147
CWRU_12k,Diagnosis,Load_1HP,time_and_frequency,SVM,0.8671052631578947,0.8671248560085391,0.9597475845410628
CWRU_12k,Diagnosis,Load_1HP,time_and_frequency,XGBoost,0.8798245614035088,0.879486409548491,0.9785570811085684
CWRU_12k,Diagnosis,Load_2HP,time_and_frequency,Random Forest,0.9346491228070175,0.9345119901108278,0.9942114480040681
CWRU_12k,Diagnosis,Load_2HP,time_and_frequency,SVM,0.9162280701754386,0.9148138857989012,0.9877752669717773
CWRU_12k,Diagnosis,Load_2HP,time_and_frequency,XGBoost,0.9589912280701754,0.9594099753199793,0.9968277714213069
CWRU_12k,Diagnosis,Load_3HP,time_and_frequency,Random Forest,0.8564327485380118,0.8539543975956125,0.9723644641495042
CWRU_12k,Diagnosis,Load_3HP,time_and_frequency,SVM,0.8779970760233917,0.87651041657923,0.9618015827612509
CWRU_12k,Diagnosis,Load_3HP,time_and_frequency,XGBoost,0.8652777777777778,0.8638770398989228,0.9731522374777524
CWRU_48k,Diagnosis,Load_0HP,time_and_frequency,Random Forest,0.875,0.8736287845546292,0.9551767676767677
CWRU_48k,Diagnosis,Load_0HP,time_and_frequency,SVM,0.9027777777777777,0.9023965141612201,0.9728535353535354
CWRU_48k,Diagnosis,Load_0HP,time_and_frequency,XGBoost,0.8305555555555556,0.833048433048433,0.9572285353535354
CWRU_48k,Diagnosis,Load_1HP,time_and_frequency,Random Forest,0.8888888888888888,0.8863362108976144,0.9769181828026857
CWRU_48k,Diagnosis,Load_1HP,time_and_frequency,SVM,0.8981481481481483,0.8952250363308251,0.9906053714533246
CWRU_48k,Diagnosis,Load_1HP,time_and_frequency,XGBoost,0.8901234567901234,0.8902637247582023,0.9770549057829759
CWRU_48k,Diagnosis,Load_2HP,time_and_frequency,Random Forest,0.9388888888888888,0.9389367816091955,0.9986574074074074
CWRU_48k,Diagnosis,Load_2HP,time_and_frequency,SVM,0.9333333333333332,0.9330468447541618,0.9919907407407407
CWRU_48k,Diagnosis,Load_2HP,time_and_frequency,XGBoost,0.8666666666666667,0.8701490649847458,0.9857407407407407
CWRU_48k,Diagnosis,Load_3HP,time_and_frequency,Random Forest,0.9444444444444443,0.9451629982603434,0.997824074074074
CWRU_48k,Diagnosis,Load_3HP,time_and_frequency,SVM,0.9055555555555556,0.9054199486023361,0.9901388888888888
CWRU_48k,Diagnosis,Load_3HP,time_and_frequency,XGBoost,0.8666666666666667,0.8700687581421528,0.9573148148148148
