Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k_Severity,Diagnosis,Severity_0.007,Random Forest,0.5305555555555556,0.4945066665443816,0.7445370370370371
CWRU_12k_Severity,Diagnosis,Severity_0.007,SVM,0.5263888888888889,0.5131286342567162,0.6854108796296297
CWRU_12k_Severity,Diagnosis,Severity_0.007,XGBoost,0.4583333333333333,0.4311946623529936,0.6744328703703704
CWRU_12k_Severity,Diagnosis,Severity_0.007,TabNet,0.5944444444444444,0.5867684355455469,0.7585054976851852
CWRU_12k_Severity,Diagnosis,Severity_0.014,Random Forest,0.3819444444444444,0.3457695642110403,0.5329340277777778
CWRU_12k_Severity,Diagnosis,Severity_0.014,SVM,0.42638888888888893,0.39890198038246977,0.5330989583333333
CWRU_12k_Severity,Diagnosis,Severity_0.014,XGBoost,0.39166666666666666,0.34432775344271965,0.5231076388888889
CWRU_12k_Severity,Diagnosis,Severity_0.014,TabNet,0.44861111111111107,0.4267079331317289,0.5802980324074074
CWRU_12k_Severity,Diagnosis,Severity_0.021,Random Forest,0.42361111111111116,0.3966846058704096,0.6120109953703703
CWRU_12k_Severity,Diagnosis,Severity_0.021,SVM,0.46388888888888885,0.4492090114428183,0.5900086805555556
CWRU_12k_Severity,Diagnosis,Severity_0.021,XGBoost,0.4083333333333334,0.40090583221490955,0.5560040509259259
CWRU_12k_Severity,Diagnosis,Severity_0.021,TabNet,0.45,0.431499990176525,0.6825636574074073
