Dataset,Task,Test Condition,Model,Accuracy,Bal Acc,Macro F1,ROC-AUC
CWRU_48k,Diagnosis,Severity_0.007,Random Forest,0.0,0.14761904761904762,0.1154562383612663,0.2587244897959184
CWRU_48k,Diagnosis,Severity_0.007,SVM,0.0,0.03333333333333333,0.03100011934598401,0.2838775510204081
CWRU_48k,Diagnosis,Severity_0.007,XGBoost,0.0,0.16190476190476188,0.15314317363611188,0.3654421768707483
CWRU_48k,Diagnosis,Severity_0.007,TabNet,0.3047619047619048,0.4047619047619047,0.4056693972828585,0.5730272108843538
CWRU_48k,Diagnosis,Severity_0.014,Random Forest,0.0,0.13333333333333333,0.09572649572649572,0.2835708596461285
CWRU_48k,Diagnosis,Severity_0.014,SVM,0.0,0.05714285714285714,0.05220810866234816,0.3175712578938385
CWRU_48k,Diagnosis,Severity_0.014,XGBoost,0.0,0.09523809523809523,0.0736317687788755,0.2713603003925585
CWRU_48k,Diagnosis,Severity_0.014,TabNet,0.3247422680412371,0.41075837742504406,0.3945544703683608,0.5699308755760369
CWRU_48k,Diagnosis,Severity_0.021,Random Forest,0.0,0.3697916666666667,0.25275892137708755,0.49291294642857136
CWRU_48k,Diagnosis,Severity_0.021,SVM,0.0,0.020833333333333332,0.01932367149758454,0.28048818407960197
CWRU_48k,Diagnosis,Severity_0.021,XGBoost,0.0,0.40282738095238096,0.3373349568194896,0.5794626199360341
CWRU_48k,Diagnosis,Severity_0.021,TabNet,0.2828282828282828,0.3287202380952381,0.2510539569363099,0.43939065831556506
CWRU_12k_Severity,Diagnosis,Severity_0.007,Random Forest,0.0,0.5305555555555556,0.4945066665443816,0.7445370370370371
CWRU_12k_Severity,Diagnosis,Severity_0.007,SVM,0.0,0.5263888888888889,0.5131286342567162,0.6854108796296297
CWRU_12k_Severity,Diagnosis,Severity_0.007,XGBoost,0.0,0.4583333333333333,0.4311946623529936,0.6744328703703704
CWRU_12k_Severity,Diagnosis,Severity_0.007,TabNet,0.3388888888888889,0.5944444444444444,0.5867684355455469,0.7585054976851852
CWRU_12k_Severity,Diagnosis,Severity_0.014,Random Forest,0.0,0.3819444444444444,0.3457695642110403,0.5329340277777778
CWRU_12k_Severity,Diagnosis,Severity_0.014,SVM,0.0,0.42638888888888893,0.39890198038246977,0.5330989583333333
CWRU_12k_Severity,Diagnosis,Severity_0.014,XGBoost,0.0,0.39166666666666666,0.34432775344271965,0.5231076388888889
CWRU_12k_Severity,Diagnosis,Severity_0.014,TabNet,0.35833333333333334,0.44861111111111107,0.4267079331317289,0.5802980324074074
CWRU_12k_Severity,Diagnosis,Severity_0.021,Random Forest,0.0,0.42361111111111116,0.3966846058704096,0.6120109953703703
CWRU_12k_Severity,Diagnosis,Severity_0.021,SVM,0.0,0.46388888888888885,0.4492090114428183,0.5900086805555556
CWRU_12k_Severity,Diagnosis,Severity_0.021,XGBoost,0.0,0.4083333333333334,0.40090583221490955,0.5560040509259259
CWRU_12k_Severity,Diagnosis,Severity_0.021,TabNet,0.35694444444444445,0.45,0.431499990176525,0.6825636574074073
