Target Dataset,Task,Test Condition,Source Combo,Model,Bal Acc,Macro F1,ROC-AUC
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k,Multi-Head DL (TABNET),0.6,0.5279631689531579,0.8251785714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k,Multi-Head DL (TABNET),0.55,0.5093954248366013,0.8180357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox,Multi-Head DL (TABNET),0.5125,0.44497282608695654,0.8519642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST,Multi-Head DL (TABNET),0.3875,0.3314144736842105,0.7808928571428572
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,PU,Multi-Head DL (TABNET),0.475,0.40789473684210525,0.8126785714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,UORED,Multi-Head DL (TABNET),0.4875,0.4879416180886769,0.8676785714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Mechanical_Gear,Multi-Head DL (TABNET),0.525,0.4640151515151515,0.8519642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Electric_Motor,Multi-Head DL (TABNET),0.5625,0.5221405228758169,0.7869642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k,Multi-Head DL (TABNET),0.625,0.5544258373205742,0.85125
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox,Multi-Head DL (TABNET),0.3875,0.3433395872420263,0.8289285714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST,Multi-Head DL (TABNET),0.4875,0.40940465918895597,0.6294642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + PU,Multi-Head DL (TABNET),0.35,0.32291666666666663,0.7301785714285713
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + UORED,Multi-Head DL (TABNET),0.55,0.4813311688311688,0.8001785714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + Mechanical_Gear,Multi-Head DL (TABNET),0.5625,0.5220394736842106,0.8383928571428572
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + Electric_Motor,Multi-Head DL (TABNET),0.6125,0.5396252922489804,0.9117857142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox,Multi-Head DL (TABNET),0.4625,0.4303571428571429,0.7939285714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST,Multi-Head DL (TABNET),0.625,0.5208333333333333,0.7355357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + PU,Multi-Head DL (TABNET),0.4875,0.4265605875152999,0.8444642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + UORED,Multi-Head DL (TABNET),0.375,0.28968253968253965,0.7032142857142858
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + Mechanical_Gear,Multi-Head DL (TABNET),0.675,0.6228369331817608,0.900892857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + Electric_Motor,Multi-Head DL (TABNET),0.625,0.5208333333333333,0.8392857142857142
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + HUST,Multi-Head DL (TABNET),0.575,0.48258172555309214,0.8682142857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + PU,Multi-Head DL (TABNET),0.45,0.3909198113207547,0.7639285714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + UORED,Multi-Head DL (TABNET),0.5,0.3762626262626263,0.8839285714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + Mechanical_Gear,Multi-Head DL (TABNET),0.5,0.4391025641025641,0.7601785714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + Electric_Motor,Multi-Head DL (TABNET),0.4375,0.37575757575757573,0.8060714285714285
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + PU,Multi-Head DL (TABNET),0.475,0.3943627450980392,0.8328571428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + UORED,Multi-Head DL (TABNET),0.2625,0.2727272727272727,0.6542857142857144
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + Mechanical_Gear,Multi-Head DL (TABNET),0.3875,0.32272727272727275,0.7528571428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + Electric_Motor,Multi-Head DL (TABNET),0.3875,0.3611111111111111,0.6614285714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,PU + UORED,Multi-Head DL (TABNET),0.375,0.3,0.7769642857142858
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,PU + Mechanical_Gear,Multi-Head DL (TABNET),0.3875,0.34404761904761905,0.8162499999999999
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,PU + Electric_Motor,Multi-Head DL (TABNET),0.45,0.3729166666666667,0.6939285714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.425,0.3660714285714286,0.8373214285714285
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,UORED + Electric_Motor,Multi-Head DL (TABNET),0.5375000000000001,0.47943722943722944,0.8466071428571428
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.5375000000000001,0.5061639014580191,0.8092857142857144
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + HUST_Gearbox,Multi-Head DL (TABNET),0.55,0.484375,0.8478571428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + HUST,Multi-Head DL (TABNET),0.375,0.3,0.8175
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + PU,Multi-Head DL (TABNET),0.5375,0.4882478632478633,0.8935714285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + UORED,Multi-Head DL (TABNET),0.4625,0.39839572192513373,0.852857142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + Mechanical_Gear,Multi-Head DL (TABNET),0.575,0.5175578812760802,0.8755357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + Electric_Motor,Multi-Head DL (TABNET),0.7125,0.6948470775870157,0.9228571428571428
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + HUST,Multi-Head DL (TABNET),0.375,0.2857142857142857,0.7591071428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + PU,Multi-Head DL (TABNET),0.4375,0.3762335526315789,0.6719642857142858
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + UORED,Multi-Head DL (TABNET),0.575,0.5322871572871573,0.85375
