Exp Strategy,Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
0_Baseline,CWRU_12k,Diagnosis,Load_0HP,MLP (TL),0.6192251461988304,0.5325437798040938,0.8246523638873606
0_Baseline,CWRU_12k,Diagnosis,Load_0HP,TABNET (TL),0.6867690058479532,0.6488010839725555,0.8611372562503821
0_Baseline,CWRU_12k,Diagnosis,Load_1HP,MLP (TL),0.5637426900584795,0.5012839517437474,0.837551519196542
0_Baseline,CWRU_12k,Diagnosis,Load_1HP,TABNET (TL),0.6835526315789474,0.6445022236124984,0.9033095283498601
0_Baseline,CWRU_12k,Diagnosis,Load_2HP,MLP (TL),0.6736111111111112,0.6454960416935501,0.8588213196033562
0_Baseline,CWRU_12k,Diagnosis,Load_2HP,TABNET (TL),0.7535087719298246,0.7208143007425355,0.9297829600041772
0_Baseline,CWRU_12k,Diagnosis,Load_3HP,MLP (TL),0.6394005847953217,0.5765545880564535,0.8659870049898297
0_Baseline,CWRU_12k,Diagnosis,Load_3HP,TABNET (TL),0.7042397660818713,0.6526627924825479,0.9005396008136283
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,MLP (TL),0.425,0.3293478260869565,0.7621428571428571
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,TABNET (TL),0.375,0.25,0.8598214285714286
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,MLP (TL),0.22499999999999998,0.2383578431372549,0.8276785714285714
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,TABNET (TL),0.6625,0.5758137857692919,0.9339285714285714
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,MLP (TL),0.575,0.48648066026114806,0.9510714285714286
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,TABNET (TL),0.4875,0.3693181818181818,0.9203571428571429
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,MLP (TL),0.2125,0.17803030303030304,0.6941071428571428
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,TABNET (TL),0.4125,0.3404017857142857,0.7353571428571428
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,MLP (TL),0.475,0.4652423556835321,0.7801785714285714
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,TABNET (TL),0.575,0.5623256373256373,0.8801785714285715
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,MLP (TL),0.375,0.31526434558349453,0.7521428571428571
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,TABNET (TL),0.6125,0.5760945368816036,0.9032142857142856
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,MLP (TL),0.36250000000000004,0.287012987012987,0.8076785714285715
0_Baseline,UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,TABNET (TL),0.475,0.4462860144057623,0.7757142857142857
