Experiment ID,Target,Test Condition,Model,Bal Acc,Macro F1
0_Baseline,UOEMD,Load_Loaded_Speed_15Hz,Random Forest,0.7,0.65625
0_Baseline,UOEMD,Load_Loaded_Speed_30Hz,Random Forest,0.875,0.8572261072261071
0_Baseline,UOEMD,Load_Loaded_Speed_45Hz,Random Forest,1.0,1.0
0_Baseline,UOEMD,Load_Loaded_Speed_60Hz,Random Forest,0.55,0.4910714285714286
0_Baseline,UOEMD,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,0.9,0.8989034019404862
0_Baseline,UOEMD,Load_Loaded_Speed_Dec_60_to_30Hz,Random Forest,0.875,0.8748710010319918
0_Baseline,UOEMD,Load_Loaded_Speed_Inc_15_to_45Hz,Random Forest,0.9249999999999999,0.9226190476190477
0_Baseline,UOEMD,Load_Loaded_Speed_Inc_30_to_60Hz,Random Forest,0.825,0.819487656222496
0_Baseline,UOEMD,Load_No_Load_Speed_15Hz,Random Forest,0.8374999999999999,0.8069131161236425
0_Baseline,UOEMD,Load_No_Load_Speed_30Hz,Random Forest,0.75,0.6875
0_Baseline,UOEMD,Load_No_Load_Speed_45Hz,Random Forest,1.0,1.0
0_Baseline,UOEMD,Load_No_Load_Speed_60Hz,Random Forest,1.0,1.0
0_Baseline,UOEMD,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,0.9375,0.9359126984126984
0_Baseline,UOEMD,Load_No_Load_Speed_Dec_60_to_30Hz,Random Forest,0.95,0.9464932712215322
0_Baseline,UOEMD,Load_No_Load_Speed_Inc_15_to_45Hz,Random Forest,0.925,0.9222132034632035
0_Baseline,UOEMD,Load_No_Load_Speed_Inc_30_to_60Hz,Random Forest,0.925,0.9228726339020457
1_Estrategia_A_Pura,UOEMD,Load_Loaded_Speed_15Hz,Random Forest,0.65,0.6004152097902098
1_Estrategia_A_Pura,UOEMD,Load_Loaded_Speed_30Hz,Random Forest,0.7375,0.720306103210515
1_Estrategia_A_Pura,UOEMD,Load_Loaded_Speed_45Hz,Random Forest,0.925,0.9260149572649572
1_Estrategia_A_Pura,UOEMD,Load_Loaded_Speed_60Hz,Random Forest,0.5875,0.5279411764705882
1_Estrategia_A_Pura,UOEMD,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,0.8500000000000001,0.8480097302078726
1_Estrategia_A_Pura,UOEMD,Load_Loaded_Speed_Dec_60_to_30Hz,Random Forest,0.9,0.9005257175333902
1_Estrategia_A_Pura,UOEMD,Load_Loaded_Speed_Inc_15_to_45Hz,Random Forest,0.875,0.8736528822055138
1_Estrategia_A_Pura,UOEMD,Load_Loaded_Speed_Inc_30_to_60Hz,Random Forest,0.7875,0.7845712022182612
1_Estrategia_A_Pura,UOEMD,Load_No_Load_Speed_15Hz,Random Forest,0.4375,0.41346153846153844
1_Estrategia_A_Pura,UOEMD,Load_No_Load_Speed_30Hz,Random Forest,0.65,0.5885854341736694
1_Estrategia_A_Pura,UOEMD,Load_No_Load_Speed_45Hz,Random Forest,0.9125,0.9050510892616156
1_Estrategia_A_Pura,UOEMD,Load_No_Load_Speed_60Hz,Random Forest,0.825,0.7885551948051948
1_Estrategia_A_Pura,UOEMD,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,0.9375,0.937468671679198
1_Estrategia_A_Pura,UOEMD,Load_No_Load_Speed_Dec_60_to_30Hz,Random Forest,0.9,0.8965686274509803
1_Estrategia_A_Pura,UOEMD,Load_No_Load_Speed_Inc_15_to_45Hz,Random Forest,0.925,0.9252677147413989
1_Estrategia_A_Pura,UOEMD,Load_No_Load_Speed_Inc_30_to_60Hz,Random Forest,0.8999999999999999,0.8972359876965139
2_Estrategia_B_Pura,UOEMD,Load_Loaded_Speed_15Hz,Random Forest,0.65,0.6004152097902098
2_Estrategia_B_Pura,UOEMD,Load_Loaded_Speed_30Hz,Random Forest,0.7375,0.720306103210515
2_Estrategia_B_Pura,UOEMD,Load_Loaded_Speed_45Hz,Random Forest,0.925,0.9260149572649572
2_Estrategia_B_Pura,UOEMD,Load_Loaded_Speed_60Hz,Random Forest,0.5875,0.5279411764705882
2_Estrategia_B_Pura,UOEMD,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,0.8500000000000001,0.8480097302078726
2_Estrategia_B_Pura,UOEMD,Load_Loaded_Speed_Dec_60_to_30Hz,Random Forest,0.9,0.9005257175333902
2_Estrategia_B_Pura,UOEMD,Load_Loaded_Speed_Inc_15_to_45Hz,Random Forest,0.875,0.8736528822055138
2_Estrategia_B_Pura,UOEMD,Load_Loaded_Speed_Inc_30_to_60Hz,Random Forest,0.7875,0.7845712022182612
2_Estrategia_B_Pura,UOEMD,Load_No_Load_Speed_15Hz,Random Forest,0.4375,0.41346153846153844
2_Estrategia_B_Pura,UOEMD,Load_No_Load_Speed_30Hz,Random Forest,0.65,0.5885854341736694
2_Estrategia_B_Pura,UOEMD,Load_No_Load_Speed_45Hz,Random Forest,0.9125,0.9050510892616156
2_Estrategia_B_Pura,UOEMD,Load_No_Load_Speed_60Hz,Random Forest,0.825,0.7885551948051948
2_Estrategia_B_Pura,UOEMD,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,0.9375,0.937468671679198
2_Estrategia_B_Pura,UOEMD,Load_No_Load_Speed_Dec_60_to_30Hz,Random Forest,0.9,0.8965686274509803
2_Estrategia_B_Pura,UOEMD,Load_No_Load_Speed_Inc_15_to_45Hz,Random Forest,0.925,0.9252677147413989
2_Estrategia_B_Pura,UOEMD,Load_No_Load_Speed_Inc_30_to_60Hz,Random Forest,0.8999999999999999,0.8972359876965139
3_Estrategia_C_com_A,UOEMD,Load_Loaded_Speed_15Hz,Random Forest,0.6625,0.6271367521367521
3_Estrategia_C_com_A,UOEMD,Load_Loaded_Speed_30Hz,Random Forest,0.8125,0.8007127192982455
3_Estrategia_C_com_A,UOEMD,Load_Loaded_Speed_45Hz,Random Forest,1.0,1.0
3_Estrategia_C_com_A,UOEMD,Load_Loaded_Speed_60Hz,Random Forest,0.6,0.5341880341880342
3_Estrategia_C_com_A,UOEMD,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,0.875,0.8757273084672466
3_Estrategia_C_com_A,UOEMD,Load_Loaded_Speed_Dec_60_to_30Hz,Random Forest,0.8875,0.8892836738424974
3_Estrategia_C_com_A,UOEMD,Load_Loaded_Speed_Inc_15_to_45Hz,Random Forest,0.9375,0.9372161464266727
3_Estrategia_C_com_A,UOEMD,Load_Loaded_Speed_Inc_30_to_60Hz,Random Forest,0.8625,0.8635441356029591
3_Estrategia_C_com_A,UOEMD,Load_No_Load_Speed_15Hz,Random Forest,0.8375,0.8001137955182073
3_Estrategia_C_com_A,UOEMD,Load_No_Load_Speed_30Hz,Random Forest,0.7125,0.6654411764705882
3_Estrategia_C_com_A,UOEMD,Load_No_Load_Speed_45Hz,Random Forest,1.0,1.0
3_Estrategia_C_com_A,UOEMD,Load_No_Load_Speed_60Hz,Random Forest,0.975,0.9747474747474747
3_Estrategia_C_com_A,UOEMD,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,0.9375,0.9343996179707581
3_Estrategia_C_com_A,UOEMD,Load_No_Load_Speed_Dec_60_to_30Hz,Random Forest,0.9375,0.9366368286445013
3_Estrategia_C_com_A,UOEMD,Load_No_Load_Speed_Inc_15_to_45Hz,Random Forest,0.9375,0.9362745098039216
3_Estrategia_C_com_A,UOEMD,Load_No_Load_Speed_Inc_30_to_60Hz,Random Forest,0.9,0.9009361639392599
4_Estrategia_C_com_B,UOEMD,Load_Loaded_Speed_15Hz,Random Forest,0.6625,0.6271367521367521
4_Estrategia_C_com_B,UOEMD,Load_Loaded_Speed_30Hz,Random Forest,0.8125,0.8007127192982455
4_Estrategia_C_com_B,UOEMD,Load_Loaded_Speed_45Hz,Random Forest,1.0,1.0
4_Estrategia_C_com_B,UOEMD,Load_Loaded_Speed_60Hz,Random Forest,0.6,0.5341880341880342
4_Estrategia_C_com_B,UOEMD,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,0.875,0.8757273084672466
4_Estrategia_C_com_B,UOEMD,Load_Loaded_Speed_Dec_60_to_30Hz,Random Forest,0.8875,0.8892836738424974
4_Estrategia_C_com_B,UOEMD,Load_Loaded_Speed_Inc_15_to_45Hz,Random Forest,0.9375,0.9372161464266727
4_Estrategia_C_com_B,UOEMD,Load_Loaded_Speed_Inc_30_to_60Hz,Random Forest,0.8625,0.8635441356029591
4_Estrategia_C_com_B,UOEMD,Load_No_Load_Speed_15Hz,Random Forest,0.8375,0.8001137955182073
4_Estrategia_C_com_B,UOEMD,Load_No_Load_Speed_30Hz,Random Forest,0.7125,0.6654411764705882
4_Estrategia_C_com_B,UOEMD,Load_No_Load_Speed_45Hz,Random Forest,1.0,1.0
4_Estrategia_C_com_B,UOEMD,Load_No_Load_Speed_60Hz,Random Forest,0.975,0.9747474747474747
4_Estrategia_C_com_B,UOEMD,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,0.9375,0.9343996179707581
4_Estrategia_C_com_B,UOEMD,Load_No_Load_Speed_Dec_60_to_30Hz,Random Forest,0.9375,0.9366368286445013
4_Estrategia_C_com_B,UOEMD,Load_No_Load_Speed_Inc_15_to_45Hz,Random Forest,0.9375,0.9362745098039216
4_Estrategia_C_com_B,UOEMD,Load_No_Load_Speed_Inc_30_to_60Hz,Random Forest,0.9,0.9009361639392599
