Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Detection,Load_0HP,Random Forest,0.6166666666666667,0.6502732240437158,0.9666666666666667
CWRU_12k,Detection,Load_0HP,SVM,0.7791666666666667,0.7524504948159888,0.960125
CWRU_12k,Detection,Load_0HP,XGBoost,0.5233333333333333,0.5292733156810827,0.9664166666666667
CWRU_12k,Detection,Load_0HP,TabNet,0.7683333333333333,0.5348837209302325,0.8905833333333335
CWRU_12k,Detection,Load_1HP,Random Forest,0.9320312500000001,0.7986549028929375,0.9375
CWRU_12k,Detection,Load_1HP,SVM,0.93515625,0.7945480986416659,0.9328125
CWRU_12k,Detection,Load_1HP,XGBoost,0.58203125,0.6062884483937115,0.93716796875
CWRU_12k,Detection,Load_1HP,TabNet,0.9375,0.6666666666666666,0.9375
CWRU_12k,Detection,Load_2HP,Random Forest,0.9320312500000001,0.7986549028929375,0.9375
CWRU_12k,Detection,Load_2HP,SVM,0.9375,0.8,0.9375
CWRU_12k,Detection,Load_2HP,XGBoost,0.6859375,0.6987699774077483,0.9375
CWRU_12k,Detection,Load_2HP,TabNet,0.9375,0.6666666666666666,0.9375
CWRU_12k,Detection,Load_3HP,Random Forest,0.71875,0.71875,0.9375
CWRU_12k,Detection,Load_3HP,SVM,0.9375,0.8,0.9375
CWRU_12k,Detection,Load_3HP,XGBoost,0.6859375,0.6987699774077483,0.9375
CWRU_12k,Detection,Load_3HP,TabNet,0.9375,0.6666666666666666,0.9375
UOEMD,Detection,Load_Loaded_Speed_15Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_15Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_15Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_15Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_45_to_15Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_45_to_15Hz,XGBoost,0.95,0.9701381112355356,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_45_to_15Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_15Hz,Random Forest,0.9857142857142858,0.9472990777338604,1.0
UOEMD,Detection,Load_No_Load_Speed_15Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_15Hz,XGBoost,0.9857142857142858,0.9472990777338604,0.9857142857142858
UOEMD,Detection,Load_No_Load_Speed_15Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_45_to_15Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_45_to_15Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_45_to_15Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_30Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_30Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_30Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_30Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_60_to_30Hz,Random Forest,0.9,0.9374021909233177,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_60_to_30Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_60_to_30Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_60_to_30Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_30Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_30Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_30Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_30Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_60_to_30Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_60_to_30Hz,SVM,0.9928571428571429,0.9725933538883179,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_60_to_30Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_60_to_30Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_45Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_45Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_45Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_45Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_15_to_45Hz,Random Forest,1.0,1.0,0.9999999999999999
UOEMD,Detection,Load_Loaded_Speed_Inc_15_to_45Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_15_to_45Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_15_to_45Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_45Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_45Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_45Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_45Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_15_to_45Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_15_to_45Hz,SVM,0.9928571428571429,0.9725933538883179,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_15_to_45Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_15_to_45Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_60Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_60Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_60Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_60Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_30_to_60Hz,Random Forest,0.9,0.9374021909233177,0.9999999999999999
UOEMD,Detection,Load_Loaded_Speed_Inc_30_to_60Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_30_to_60Hz,XGBoost,0.95,0.9701381112355356,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_30_to_60Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_60Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_60Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_60Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_60Hz,TabNet,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_30_to_60Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_30_to_60Hz,SVM,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_30_to_60Hz,XGBoost,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_30_to_60Hz,TabNet,1.0,1.0,1.0
CWRU_12k,Diagnosis,Load_0HP,Random Forest,0.592514619883041,0.6015716404445831,0.9373261123824053
CWRU_12k,Diagnosis,Load_0HP,SVM,0.5806725146198831,0.5921517720895091,0.919974218154081
CWRU_12k,Diagnosis,Load_0HP,XGBoost,0.6535672514619882,0.6502367931818785,0.9526933638443935
CWRU_12k,Diagnosis,Load_0HP,TabNet,0.6504093567251462,0.5815588881764269,0.9377459445715738
CWRU_12k,Diagnosis,Load_1HP,Random Forest,0.708421052631579,0.7085693514801872,0.961367806016322
CWRU_12k,Diagnosis,Load_1HP,SVM,0.6836257309941519,0.6787426515788738,0.9506119447815905
CWRU_12k,Diagnosis,Load_1HP,XGBoost,0.7109356725146199,0.7098868100325952,0.9636540483015497
CWRU_12k,Diagnosis,Load_1HP,TabNet,0.7435087719298246,0.6929941872169649,0.9641078619927992
CWRU_12k,Diagnosis,Load_2HP,Random Forest,0.7270175438596491,0.7266846134884717,0.9639188387051953
CWRU_12k,Diagnosis,Load_2HP,SVM,0.7411111111111112,0.7389583554363204,0.9663092651848583
CWRU_12k,Diagnosis,Load_2HP,XGBoost,0.7427485380116959,0.7413232039442464,0.9680671819894483
CWRU_12k,Diagnosis,Load_2HP,TabNet,0.7227485380116959,0.6549265341400173,0.954593436479622
CWRU_12k,Diagnosis,Load_3HP,Random Forest,0.6999561403508772,0.6985700622081484,0.9547318584721763
CWRU_12k,Diagnosis,Load_3HP,SVM,0.7147368421052631,0.7147165329130603,0.9487452544125279
CWRU_12k,Diagnosis,Load_3HP,XGBoost,0.6385672514619883,0.642525530902829,0.9492812881843555
CWRU_12k,Diagnosis,Load_3HP,TabNet,0.7347368421052631,0.6678489643428741,0.9535295993886417
CWRU_48k,Diagnosis,Load_0HP,Random Forest,0.7083333333333334,0.7171838505171838,0.8791035353535354
CWRU_48k,Diagnosis,Load_0HP,SVM,0.6944444444444445,0.6678733031674208,0.9196022727272727
CWRU_48k,Diagnosis,Load_0HP,XGBoost,0.7083333333333334,0.7195383789586689,0.8816603535353537
CWRU_48k,Diagnosis,Load_0HP,TabNet,0.7388888888888889,0.7151211361737677,0.8050820707070706
CWRU_48k,Diagnosis,Load_1HP,Random Forest,0.8555555555555555,0.8464062184534625,0.9790989820229586
CWRU_48k,Diagnosis,Load_1HP,SVM,0.8944444444444445,0.8867008439974432,0.9266190166774964
CWRU_48k,Diagnosis,Load_1HP,XGBoost,0.8401234567901233,0.8358023220408541,0.979640459172623
CWRU_48k,Diagnosis,Load_1HP,TabNet,0.9320987654320988,0.9296069604185296,0.9461460363872645
CWRU_48k,Diagnosis,Load_2HP,Random Forest,0.8722222222222222,0.8737181117043816,0.9856481481481482
