Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_48k,Diagnosis,Severity_0.007,Random Forest,0.06666666666666667,0.055239687848383505,0.260578231292517
CWRU_48k,Diagnosis,Severity_0.007,SVM,0.07619047619047618,0.07384995183044317,0.2599319727891157
CWRU_48k,Diagnosis,Severity_0.007,XGBoost,0.10476190476190476,0.10095238095238095,0.3640816326530612
CWRU_48k,Diagnosis,Severity_0.007,TabNet,0.4285714285714286,0.3927906397809311,0.6184013605442177
CWRU_48k,Diagnosis,Severity_0.014,Random Forest,0.14285714285714288,0.10441826215022092,0.28666083518234053
CWRU_48k,Diagnosis,Severity_0.014,SVM,0.05714285714285714,0.05220810866234816,0.3162584627638391
CWRU_48k,Diagnosis,Severity_0.014,XGBoost,0.09523809523809523,0.0736317687788755,0.2413480684986061
CWRU_48k,Diagnosis,Severity_0.014,TabNet,0.33668430335096994,0.30012286290996,0.43498463901689705
CWRU_48k,Diagnosis,Severity_0.021,Random Forest,0.3455357142857143,0.2339059517612355,0.4408868048152097
CWRU_48k,Diagnosis,Severity_0.021,SVM,0.19613095238095238,0.1300869835352594,0.31032949093816625
CWRU_48k,Diagnosis,Severity_0.021,XGBoost,0.4132440476190476,0.3516407250185298,0.7007557080668088
CWRU_48k,Diagnosis,Severity_0.021,TabNet,0.42053571428571423,0.349807033924681,0.6250049973347548
