Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Diagnosis,Load_0HP,Random Forest,0.8633771929824561,0.8617942868426731,0.0
CWRU_12k,Diagnosis,Load_0HP,SVM (RBF),0.7932017543859649,0.4446607513788927,0.0
CWRU_12k,Diagnosis,Load_0HP,Multi-Head DL (MLP),0.7448830409356726,0.7373583138492266,0.9172168565044047
CWRU_12k,Diagnosis,Load_0HP,Multi-Head DL (TABNET),0.7161184210526316,0.7223563710635127,0.8676757994240344
CWRU_12k,Diagnosis,Load_1HP,Random Forest,0.9278508771929825,0.9273891567426807,0.0
CWRU_12k,Diagnosis,Load_1HP,SVM (RBF),0.8958333333333333,0.8916296559262824,0.0
CWRU_12k,Diagnosis,Load_1HP,Multi-Head DL (MLP),0.8141081871345028,0.8132255061514376,0.9117536816452363
CWRU_12k,Diagnosis,Load_1HP,Multi-Head DL (TABNET),0.7982456140350878,0.7816261561336058,0.9507964975845411
CWRU_12k,Diagnosis,Load_2HP,Random Forest,0.9933479532163743,0.993347807418488,0.0
CWRU_12k,Diagnosis,Load_2HP,SVM (RBF),0.887719298245614,0.7022065531663254,0.0
CWRU_12k,Diagnosis,Load_2HP,Multi-Head DL (MLP),0.8073099415204679,0.80725995787959,0.9282152618866006
CWRU_12k,Diagnosis,Load_2HP,Multi-Head DL (TABNET),0.7779239766081871,0.7754666175886701,0.9320645181795066
CWRU_12k,Diagnosis,Load_3HP,Random Forest,0.8970760233918129,0.8984485631389073,0.0
CWRU_12k,Diagnosis,Load_3HP,SVM (RBF),0.8765350877192983,0.8686594798589806,0.0
CWRU_12k,Diagnosis,Load_3HP,Multi-Head DL (MLP),0.7660818713450293,0.7639505007520978,0.9152823226544623
CWRU_12k,Diagnosis,Load_3HP,Multi-Head DL (TABNET),0.77046783625731,0.7669171813778316,0.950411009407577
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Random Forest,0.675,0.6272321428571428,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,SVM (RBF),0.625,0.5433501683501684,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Multi-Head DL (MLP),0.25,0.19642857142857142,0.6169642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Multi-Head DL (TABNET),0.5,0.4221698113207547,0.7914285714285715
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Random Forest,1.0,1.0,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,SVM (RBF),0.85,0.8028907496012759,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Multi-Head DL (MLP),0.35,0.2986111111111111,0.8003571428571429
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Multi-Head DL (TABNET),0.625,0.5208333333333333,0.9532142857142857
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,Random Forest,0.975,0.9747474747474747,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,SVM (RBF),0.55,0.4650219221058801,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,Multi-Head DL (MLP),0.5125,0.47046703296703296,0.8841071428571429
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,Multi-Head DL (TABNET),0.475,0.4193948412698413,0.8771428571428571
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Random Forest,0.6125,0.5434210526315789,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,SVM (RBF),0.475,0.3685185185185185,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Multi-Head DL (MLP),0.3125,0.24346405228758172,0.8251785714285714
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Multi-Head DL (TABNET),0.4125,0.3249475890985325,0.8132142857142857
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,0.9125000000000001,0.9137949039264829,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,SVM (RBF),0.625,0.563722437406648,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Multi-Head DL (MLP),0.45,0.41177952559531505,0.8126785714285714
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Multi-Head DL (TABNET),0.5125,0.4831681476418319,0.8832142857142857
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,Random Forest,0.95,0.9497161464266728,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,SVM (RBF),0.6499999999999999,0.6151193240454076,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,Multi-Head DL (MLP),0.35,0.3126809056956116,0.75375
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,Multi-Head DL (TABNET),0.4125,0.3979622151891059,0.8580357142857142
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,Random Forest,0.9624999999999999,0.9624373433583959,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,SVM (RBF),0.7124999999999999,0.6277691444358111,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,Multi-Head DL (MLP),0.44999999999999996,0.4164396505586062,0.8610714285714286
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,Multi-Head DL (TABNET),0.5375000000000001,0.48722943722943723,0.8839285714285714
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Random Forest,0.8500000000000001,0.848215854194115,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,SVM (RBF),0.625,0.5317311362472652,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Multi-Head DL (MLP),0.425,0.3545238095238095,0.7603571428571428
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Multi-Head DL (TABNET),0.36250000000000004,0.31131187652926784,0.7857142857142857
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Random Forest,0.625,0.5189144736842105,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,SVM (RBF),0.8625,0.8208020050125313,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Multi-Head DL (MLP),0.25,0.14440993788819875,0.7466071428571428
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Multi-Head DL (TABNET),0.44999999999999996,0.40804559003088414,0.8889285714285715
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Random Forest,0.7875,0.7336182336182335,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,SVM (RBF),0.65,0.5642857142857143,0.0
