Source Domains,Target Domain,Task,Model,Bal Acc,Macro F1,ROC-AUC
All_Except_CWRU_12k,CWRU_12k,Detection,Random Forest,0.8866071428571428,0.9333333333333333,0.9503172831632652
All_Except_CWRU_12k,CWRU_12k,Detection,SVM (RBF),0.7212053571428572,0.6134323738780564,0.9423421556122449
All_Except_UOEMD,UOEMD,Detection,Random Forest,0.5,0.9333333333333333,0.12529575892857142
All_Except_UOEMD,UOEMD,Detection,SVM (RBF),0.5598214285714286,0.8891867739052726,0.5176422991071429
All_Except_HUST_Gearbox,HUST_Gearbox,Detection,Random Forest,0.5,0.8,0.6353666666666666
All_Except_HUST_Gearbox,HUST_Gearbox,Detection,SVM (RBF),0.5233333333333333,0.7967032967032966,0.7096583333333333
All_Except_HUST,HUST,Detection,Random Forest,0.5,0.9269005847953217,0.48649491763056435
All_Except_HUST,HUST,Detection,SVM (RBF),0.5589589905362776,0.9253731343283582,0.4496740273396425
All_Except_PU,PU,Detection,Random Forest,0.49575532277355516,0.8636147846727704,0.6497656623863777
All_Except_PU,PU,Detection,SVM (RBF),0.5,0.8710154673839946,0.6909364873977616
All_Except_UORED,UORED,Detection,Random Forest,0.5,0.6785714285714286,0.41760233918128653
All_Except_UORED,UORED,Detection,SVM (RBF),0.5,0.6785714285714286,0.5203070175438597
All_Except_Mechanical_Gear,Mechanical_Gear,Detection,Random Forest,0.6133333333333333,0.3695652173913043,0.6351111111111111
All_Except_Mechanical_Gear,Mechanical_Gear,Detection,SVM (RBF),0.5,0.9090909090909091,0.588
All_Except_Electric_Motor,Electric_Motor,Detection,Random Forest,0.5,0.96875,0.719758064516129
All_Except_Electric_Motor,Electric_Motor,Detection,SVM (RBF),0.5,0.96875,0.5
