Dataset,Task,Fold,Model,Bal Acc,Macro F1,ROC-AUC
UORED,Detection,Group_A,Random Forest,0.8092948717948718,0.7459807073954984,0.8807725013082155
UORED,Detection,Group_A,SVM (RBF),0.8656135531135531,0.8014411529223379,0.9321371546646271
UORED,Detection,Group_A,TabNet,0.8745421245421245,0.8141520943472956,0.9025142478095773
UORED,Detection,Group_A,FT-Transformer,0.875,0.8148148148148148,0.8726953182653732
UORED,Detection,Group_A,TabNet-ResNet1D,0.8436355311355311,0.7746534653465347,0.9282242482791935
UORED,Detection,Group_B,Random Forest,0.9901098901098901,0.9900110987791343,1.0
UORED,Detection,Group_B,SVM (RBF),0.95,0.9090909090909091,1.0
UORED,Detection,Group_B,TabNet,1.0,1.0,1.0
UORED,Detection,Group_B,FT-Transformer,1.0,1.0,1.0
UORED,Detection,Group_B,TabNet-ResNet1D,0.9587912087912087,0.9238578680203046,1.0
UORED,Detection,Group_C,Random Forest,0.6991758241758241,0.6114221724524076,0.8114244958338366
UORED,Detection,Group_C,SVM (RBF),0.7802197802197802,0.704516129032258,0.7458753471802922
UORED,Detection,Group_C,TabNet,0.8743131868131868,0.8557993730407524,0.8125075473976573
UORED,Detection,Group_C,FT-Transformer,0.6909340659340659,0.6033149171270719,0.790140834440285
UORED,Detection,Group_C,TabNet-ResNet1D,0.6943681318681318,0.6066666666666667,0.7778725395483638
UORED,Detection,Group_D,Random Forest,0.8804945054945055,0.8209500609013398,0.9311337700760778
UORED,Detection,Group_D,SVM (RBF),0.875,0.8,0.9369641347663327
UORED,Detection,Group_D,TabNet,0.9375,0.8888888888888888,0.9831919454172201
UORED,Detection,Group_D,FT-Transformer,0.75,0.6666666666666666,0.84375
UORED,Detection,Group_D,TabNet-ResNet1D,0.875,0.8,0.9255373747131989
UORED,Detection,Group_E,Random Forest,0.9388736263736264,0.8910648714810282,0.9999999999999999
UORED,Detection,Group_E,SVM (RBF),0.9375,0.8888888888888888,1.0
UORED,Detection,Group_E,TabNet,1.0,1.0,1.0
UORED,Detection,Group_E,FT-Transformer,0.9800824175824177,0.9616908850726552,1.0
UORED,Detection,Group_E,TabNet-ResNet1D,0.9375,0.8888888888888888,0.9996999909431228
