Dataset,Task,Fold,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Detection,Load_0HP,Random Forest,1.0,1.0,1.0
CWRU_12k,Detection,Load_0HP,SVM (RBF),1.0,1.0,1.0
CWRU_12k,Detection,Load_0HP,FT-Transformer,1.0,1.0,1.0
CWRU_12k,Detection,Load_0HP,TabNet,1.0,1.0,1.0
CWRU_12k,Detection,Load_1HP,Random Forest,1.0,1.0,1.0
CWRU_12k,Detection,Load_1HP,SVM (RBF),1.0,1.0,1.0
CWRU_12k,Detection,Load_1HP,FT-Transformer,1.0,1.0,1.0
CWRU_12k,Detection,Load_1HP,TabNet,1.0,1.0,1.0
CWRU_12k,Detection,Load_2HP,Random Forest,1.0,1.0,1.0
CWRU_12k,Detection,Load_2HP,SVM (RBF),1.0,1.0,1.0
CWRU_12k,Detection,Load_2HP,FT-Transformer,1.0,1.0,1.0
CWRU_12k,Detection,Load_2HP,TabNet,1.0,1.0,1.0
CWRU_12k,Detection,Load_3HP,Random Forest,1.0,1.0,1.0
CWRU_12k,Detection,Load_3HP,SVM (RBF),1.0,1.0,1.0
CWRU_12k,Detection,Load_3HP,FT-Transformer,1.0,1.0,1.0
CWRU_12k,Detection,Load_3HP,TabNet,1.0,1.0,1.0
CWRU_12k,Diagnosis,Load_0HP,Random Forest,0.8259502923976608,0.8256981849126301,0.9346845327240867
CWRU_12k,Diagnosis,Load_0HP,SVM (RBF),0.7942982456140351,0.7922252542835256,0.9154811741413154
CWRU_12k,Diagnosis,Load_0HP,FT-Transformer,0.8076754385964912,0.8056334942062968,0.9294186856028961
CWRU_12k,Diagnosis,Load_0HP,TabNet,0.8267543859649122,0.8259053823214337,0.9322603680610742
CWRU_12k,Diagnosis,Load_1HP,Random Forest,0.8660818713450292,0.8655875449542733,0.9749525171624713
CWRU_12k,Diagnosis,Load_1HP,SVM (RBF),0.8781432748538012,0.8778557526303788,0.9654130752606154
CWRU_12k,Diagnosis,Load_1HP,FT-Transformer,0.8518274853801169,0.8492754890215937,0.961243738876176
CWRU_12k,Diagnosis,Load_1HP,TabNet,0.9298245614035088,0.9296014527594293,0.986326182303585
CWRU_12k,Diagnosis,Load_2HP,Random Forest,0.9618421052631578,0.9621652524523079,0.9962578343503686
CWRU_12k,Diagnosis,Load_2HP,SVM (RBF),0.8653508771929824,0.8664925441848519,0.9593446160691584
CWRU_12k,Diagnosis,Load_2HP,FT-Transformer,0.9035087719298246,0.9040950155699474,0.9852589944063056
CWRU_12k,Diagnosis,Load_2HP,TabNet,0.9566520467836257,0.9569992545652093,0.9948292651919655
CWRU_12k,Diagnosis,Load_3HP,Random Forest,0.8728801169590643,0.872006071248842,0.9762566742944317
CWRU_12k,Diagnosis,Load_3HP,SVM (RBF),0.8364035087719298,0.8376973512737685,0.9456871027205696
CWRU_12k,Diagnosis,Load_3HP,FT-Transformer,0.8243421052631579,0.8288412880966073,0.9510473557081108
CWRU_12k,Diagnosis,Load_3HP,TabNet,0.9067251461988304,0.9073137863749203,0.9684164441901856
HUST,Detection,Load_0W,Random Forest,0.9995475113122172,0.9975062344139651,1.0
HUST,Detection,Load_0W,SVM (RBF),0.9990950226244344,0.9950248756218906,1.0
HUST,Detection,Load_0W,FT-Transformer,0.9986425339366516,0.9925558312655087,0.9999954751131221
HUST,Detection,Load_0W,TabNet,1.0,1.0,1.0
HUST,Detection,Load_200W,Random Forest,1.0,1.0,1.0
HUST,Detection,Load_200W,SVM (RBF),1.0,1.0,1.0
HUST,Detection,Load_200W,FT-Transformer,0.9975,0.9974937343358395,1.0
HUST,Detection,Load_200W,TabNet,1.0,1.0,1.0
HUST,Detection,Load_400W,Random Forest,1.0,1.0,1.0
HUST,Detection,Load_400W,SVM (RBF),1.0,1.0,1.0
HUST,Detection,Load_400W,FT-Transformer,1.0,1.0,1.0
HUST,Detection,Load_400W,TabNet,1.0,1.0,1.0
HUST,Diagnosis,Load_0W,Random Forest,0.8164744213750474,0.8119476014260202,0.9557611994456183
HUST,Diagnosis,Load_0W,SVM (RBF),0.8327527008786538,0.832775319968042,0.9735724987798265
HUST,Diagnosis,Load_0W,FT-Transformer,0.8235154202389058,0.8225140004197994,0.9684733579893786
HUST,Diagnosis,Load_0W,TabNet,0.860214451958013,0.8631185405985079,0.9472708859044826
HUST,Diagnosis,Load_200W,Random Forest,0.9805836886993603,0.9807242174020254,0.9984101525979208
HUST,Diagnosis,Load_200W,SVM (RBF),0.9543705763237911,0.9529812892013265,0.9987957654175198
HUST,Diagnosis,Load_200W,FT-Transformer,0.9771961620469084,0.9770767154641093,0.999063627640461
HUST,Diagnosis,Load_200W,TabNet,0.9912606609808102,0.99103318534452,0.9989394752056506
HUST,Diagnosis,Load_400W,Random Forest,0.9376485890652557,0.9329219314301617,0.9989692010342067
HUST,Diagnosis,Load_400W,SVM (RBF),0.9524263668430335,0.9539251509282545,0.9976181274870205
HUST,Diagnosis,Load_400W,FT-Transformer,0.9059153439153439,0.909566673494921,0.9933682993248775
HUST,Diagnosis,Load_400W,TabNet,0.9685855379188713,0.9693077392580183,0.9987694751034641
PU,Detection,C1_1500rpm_0.7Nm_1000N,Random Forest,0.9991353220925205,0.9979220779220779,0.9999949361652999
PU,Detection,C1_1500rpm_0.7Nm_1000N,SVM (RBF),0.95486328434017,0.9525885558583106,0.9995229867712383
PU,Detection,C1_1500rpm_0.7Nm_1000N,FT-Transformer,0.9830817282665278,0.9827905745300503,0.9999887470339994
PU,Detection,C1_1500rpm_0.7Nm_1000N,TabNet,0.9991551835775114,0.9986989331251627,0.9999975243474799
PU,Detection,C2_900rpm_0.7Nm_1000N,Random Forest,0.7356470635456187,0.6376619063434075,0.8282798637786235
PU,Detection,C2_900rpm_0.7Nm_1000N,SVM (RBF),0.5570869844685172,0.4580152671755725,0.5946308829975199
PU,Detection,C2_900rpm_0.7Nm_1000N,FT-Transformer,0.6221550362652079,0.5197066911090742,0.7728977048635184
PU,Detection,C2_900rpm_0.7Nm_1000N,TabNet,0.8461245850859296,0.7584333257867331,0.9196362032516615
PU,Detection,C3_1500rpm_0.1Nm_1000N,Random Forest,0.9877731529656608,0.9876218066894917,0.9999799321047548
PU,Detection,C3_1500rpm_0.1Nm_1000N,SVM (RBF),0.9402087265185785,0.9361349184406967,0.9990854368531363
PU,Detection,C3_1500rpm_0.1Nm_1000N,FT-Transformer,0.9924667728942372,0.9895887558563248,0.9994950146586338
PU,Detection,C3_1500rpm_0.1Nm_1000N,TabNet,0.9994797086368366,0.9994794377928162,0.9999980725750329
PU,Detection,C4_1500rpm_0.7Nm_400N,Random Forest,0.9305346306848113,0.8920827029752899,0.9848043009650405
PU,Detection,C4_1500rpm_0.7Nm_400N,SVM (RBF),0.9298139115033159,0.8670842032011135,0.9821320872380594
PU,Detection,C4_1500rpm_0.7Nm_400N,FT-Transformer,0.8783987561827796,0.8061320754716981,0.9337642271561064
PU,Detection,C4_1500rpm_0.7Nm_400N,TabNet,0.9846440399001073,0.9833729216152018,0.9961864245095777
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,Random Forest,0.9987068638616342,0.9985735564501491,0.9999936745209789
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,SVM (RBF),0.9192644586482217,0.9442495582056796,0.9991766139382872
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,FT-Transformer,0.9971373368084439,0.9945090836510962,0.9999394097487496
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,TabNet,0.9993927451535768,0.9993494383459933,0.9999986191151552
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,Random Forest,0.4953624552437807,0.4978248977008552,0.7805191764174345
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,SVM (RBF),0.3713461528629111,0.29931203141330104,0.46550553165166697
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,FT-Transformer,0.3902052850436604,0.27952679129149716,0.4945672133992225
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,TabNet,0.5325916244165511,0.5113031824793681,0.8623757319827864
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,Random Forest,0.9932321068418367,0.9936021963302434,0.9999475252858562
