Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Diagnosis,Load_0HP,Random Forest,0.8633771929824561,0.8617942868426731,0.0
CWRU_12k,Diagnosis,Load_0HP,SVM (RBF),0.7932017543859649,0.4446607513788927,0.0
CWRU_12k,Diagnosis,Load_0HP,Multi-Head DL (MLP),0.635453216374269,0.5858990481020788,0.837940383648824
CWRU_12k,Diagnosis,Load_0HP,Multi-Head DL (TABNET),0.6173245614035088,0.5317842551854179,0.8050555929118188
CWRU_12k,Diagnosis,Load_1HP,Random Forest,0.9278508771929825,0.9273891567426807,0.0
CWRU_12k,Diagnosis,Load_1HP,SVM (RBF),0.8958333333333333,0.8916296559262824,0.0
CWRU_12k,Diagnosis,Load_1HP,Multi-Head DL (MLP),0.5876461988304094,0.5542205399741076,0.7944982201881515
CWRU_12k,Diagnosis,Load_1HP,Multi-Head DL (TABNET),0.7332602339181287,0.6841657560225036,0.9116225527587084
CWRU_12k,Diagnosis,Load_2HP,Random Forest,0.9933479532163743,0.993347807418488,0.0
CWRU_12k,Diagnosis,Load_2HP,SVM (RBF),0.887719298245614,0.7022065531663254,0.0
CWRU_12k,Diagnosis,Load_2HP,Multi-Head DL (MLP),0.7959247076023392,0.7907783747838613,0.9358224095678508
CWRU_12k,Diagnosis,Load_2HP,Multi-Head DL (TABNET),0.6699561403508771,0.637079767549503,0.8672209750485815
CWRU_12k,Diagnosis,Load_3HP,Random Forest,0.8970760233918129,0.8984485631389073,0.0
CWRU_12k,Diagnosis,Load_3HP,SVM (RBF),0.8765350877192983,0.8686594798589806,0.0
CWRU_12k,Diagnosis,Load_3HP,Multi-Head DL (MLP),0.5329678362573099,0.4711417242726851,0.750021128455196
CWRU_12k,Diagnosis,Load_3HP,Multi-Head DL (TABNET),0.6873538011695907,0.6302523545838292,0.8908496141281645
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Random Forest,0.675,0.6272321428571428,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,SVM (RBF),0.625,0.5433501683501684,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Multi-Head DL (MLP),0.375,0.2623626373626374,0.82125
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Multi-Head DL (TABNET),0.38749999999999996,0.36335784313725483,0.7932142857142856
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Random Forest,1.0,1.0,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,SVM (RBF),0.85,0.8028907496012759,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Multi-Head DL (MLP),0.48750000000000004,0.44177765445800965,0.842857142857143
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Multi-Head DL (TABNET),0.5375,0.4854312354312354,0.7914285714285714
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,Random Forest,0.975,0.9747474747474747,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,SVM (RBF),0.55,0.4650219221058801,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,Multi-Head DL (MLP),0.6125,0.5058251433251433,0.9096428571428571
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,Multi-Head DL (TABNET),0.6000000000000001,0.5526110526110526,0.7814285714285715
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Random Forest,0.6125,0.5434210526315789,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,SVM (RBF),0.475,0.3685185185185185,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Multi-Head DL (MLP),0.5,0.41666666666666663,0.7239285714285715
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Multi-Head DL (TABNET),0.5125,0.42437343358395985,0.84125
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,0.9125000000000001,0.9137949039264829,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,SVM (RBF),0.625,0.563722437406648,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Multi-Head DL (MLP),0.45,0.4049441952974562,0.7914285714285714
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Multi-Head DL (TABNET),0.47500000000000003,0.4484510587451764,0.8455357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,Random Forest,0.95,0.9497161464266728,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,SVM (RBF),0.6499999999999999,0.6151193240454076,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,Multi-Head DL (MLP),0.475,0.43979664851542744,0.8805357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,Multi-Head DL (TABNET),0.425,0.37247899159663866,0.7844642857142856
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,Random Forest,0.9624999999999999,0.9624373433583959,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,SVM (RBF),0.7124999999999999,0.6277691444358111,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,Multi-Head DL (MLP),0.325,0.2896092132505176,0.7555357142857142
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,Multi-Head DL (TABNET),0.575,0.5322396353646354,0.8551785714285715
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Random Forest,0.8500000000000001,0.848215854194115,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,SVM (RBF),0.625,0.5317311362472652,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Multi-Head DL (MLP),0.4375,0.3918733369500633,0.8301785714285714
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Multi-Head DL (TABNET),0.4,0.3498106060606061,0.8225
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Random Forest,0.625,0.5189144736842105,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,SVM (RBF),0.8625,0.8208020050125313,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Multi-Head DL (MLP),0.1625,0.11097560975609756,0.6532142857142857
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Multi-Head DL (TABNET),0.25,0.16715587044534413,0.7526785714285714
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Random Forest,0.7875,0.7336182336182335,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,SVM (RBF),0.65,0.5642857142857143,0.0
