Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Detection,Load_0HP,Random Forest,1.0,1.0,1.0
CWRU_12k,Detection,Load_0HP,SVM (RBF),1.0,1.0,1.0
CWRU_12k,Detection,Load_0HP,Hybrid DL (MLP),0.925,0.9946714031971581,1.0
CWRU_12k,Detection,Load_0HP,Hybrid DL (TABNET),0.9625,0.9973285841495992,1.0
CWRU_12k,Detection,Load_1HP,Random Forest,1.0,1.0,1.0
CWRU_12k,Detection,Load_1HP,SVM (RBF),1.0,1.0,1.0
CWRU_12k,Detection,Load_1HP,Hybrid DL (MLP),1.0,1.0,1.0
CWRU_12k,Detection,Load_1HP,Hybrid DL (TABNET),1.0,1.0,1.0
CWRU_12k,Detection,Load_2HP,Random Forest,1.0,1.0,1.0
CWRU_12k,Detection,Load_2HP,SVM (RBF),1.0,1.0,1.0
CWRU_12k,Detection,Load_2HP,Hybrid DL (MLP),1.0,1.0,1.0
CWRU_12k,Detection,Load_2HP,Hybrid DL (TABNET),1.0,1.0,1.0
CWRU_12k,Detection,Load_3HP,Random Forest,1.0,1.0,1.0
CWRU_12k,Detection,Load_3HP,SVM (RBF),0.9991071428571429,0.9991063449508489,1.0
CWRU_12k,Detection,Load_3HP,Hybrid DL (MLP),1.0,1.0,1.0
CWRU_12k,Detection,Load_3HP,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_15Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_15Hz,SVM (RBF),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_15Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_15Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_30Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_30Hz,SVM (RBF),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_30Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_30Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_45Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_45Hz,SVM (RBF),0.5,0.9333333333333333,1.0
UOEMD,Detection,Load_Loaded_Speed_45Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_45Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_60Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_60Hz,SVM (RBF),0.65,0.9523809523809523,1.0
UOEMD,Detection,Load_Loaded_Speed_60Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_60Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_45_to_15Hz,SVM (RBF),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_45_to_15Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_45_to_15Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_60_to_30Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_60_to_30Hz,SVM (RBF),0.9,0.9859154929577465,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_60_to_30Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Dec_60_to_30Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_15_to_45Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_15_to_45Hz,SVM (RBF),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_15_to_45Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_15_to_45Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_30_to_60Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_30_to_60Hz,SVM (RBF),0.9,0.9859154929577465,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_30_to_60Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_Loaded_Speed_Inc_30_to_60Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_15Hz,Random Forest,0.9357142857142857,0.9312977099236641,1.0
UOEMD,Detection,Load_No_Load_Speed_15Hz,SVM (RBF),0.8928571428571428,0.9323308270676691,0.9857142857142858
UOEMD,Detection,Load_No_Load_Speed_15Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_15Hz,Hybrid DL (TABNET),0.9928571428571429,0.9928057553956835,1.0
UOEMD,Detection,Load_No_Load_Speed_30Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_30Hz,SVM (RBF),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_30Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_30Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_45Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_45Hz,SVM (RBF),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_45Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_45Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_60Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_60Hz,SVM (RBF),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_60Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_60Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_45_to_15Hz,SVM (RBF),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_45_to_15Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_45_to_15Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_60_to_30Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_60_to_30Hz,SVM (RBF),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_60_to_30Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Dec_60_to_30Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_15_to_45Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_15_to_45Hz,SVM (RBF),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_15_to_45Hz,Hybrid DL (MLP),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_15_to_45Hz,Hybrid DL (TABNET),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_30_to_60Hz,Random Forest,1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_30_to_60Hz,SVM (RBF),1.0,1.0,1.0
UOEMD,Detection,Load_No_Load_Speed_Inc_30_to_60Hz,Hybrid DL (MLP),1.0,1.0,1.0
