Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Diagnosis,Load_0HP,Random Forest,0.8633771929824561,0.8617942868426731,0.0
CWRU_12k,Diagnosis,Load_0HP,SVM (RBF),0.7932017543859649,0.4446607513788927,0.0
CWRU_12k,Diagnosis,Load_0HP,Multi-Head DL (MLP),0.6110380116959064,0.5192289075652432,0.8173400472726532
CWRU_12k,Diagnosis,Load_0HP,Multi-Head DL (TABNET),0.6865497076023392,0.606145638678243,0.8811901111179031
CWRU_12k,Diagnosis,Load_1HP,Random Forest,0.9278508771929825,0.9273891567426807,0.0
CWRU_12k,Diagnosis,Load_1HP,SVM (RBF),0.8958333333333333,0.8916296559262824,0.0
CWRU_12k,Diagnosis,Load_1HP,Multi-Head DL (MLP),0.6499999999999999,0.5862984241905949,0.8849391367912535
CWRU_12k,Diagnosis,Load_1HP,Multi-Head DL (TABNET),0.6093567251461989,0.5445365642886675,0.8534982519705061
CWRU_12k,Diagnosis,Load_2HP,Random Forest,0.9933479532163743,0.993347807418488,0.0
CWRU_12k,Diagnosis,Load_2HP,SVM (RBF),0.887719298245614,0.7022065531663254,0.0
CWRU_12k,Diagnosis,Load_2HP,Multi-Head DL (MLP),0.5551169590643275,0.4733531466518548,0.8266238825097163
CWRU_12k,Diagnosis,Load_2HP,Multi-Head DL (TABNET),0.8108187134502924,0.8046324322443725,0.9554497838799899
CWRU_12k,Diagnosis,Load_3HP,Random Forest,0.8970760233918129,0.8984485631389073,0.0
CWRU_12k,Diagnosis,Load_3HP,SVM (RBF),0.8765350877192983,0.8686594798589806,0.0
CWRU_12k,Diagnosis,Load_3HP,Multi-Head DL (MLP),0.5952485380116959,0.5319055550935493,0.7958565895036503
CWRU_12k,Diagnosis,Load_3HP,Multi-Head DL (TABNET),0.6060672514619883,0.5386914277257361,0.8175184973302823
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Random Forest,0.675,0.6272321428571428,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,SVM (RBF),0.625,0.5433501683501684,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Multi-Head DL (MLP),0.325,0.22745098039215686,0.8251785714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Multi-Head DL (TABNET),0.3625,0.25818345654492625,0.7417857142857143
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Random Forest,1.0,1.0,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,SVM (RBF),0.85,0.8028907496012759,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Multi-Head DL (MLP),0.675,0.6362007168458781,0.8901785714285714
UOEMD,Diagnosis,Load_Loaded_Speed_30Hz,Multi-Head DL (TABNET),0.625,0.5128205128205128,0.9367857142857143
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,Random Forest,0.975,0.9747474747474747,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,SVM (RBF),0.55,0.4650219221058801,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,Multi-Head DL (MLP),0.375,0.30319148936170215,0.7791071428571429
UOEMD,Diagnosis,Load_Loaded_Speed_45Hz,Multi-Head DL (TABNET),0.55,0.4813612313612313,0.9769642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Random Forest,0.6125,0.5434210526315789,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,SVM (RBF),0.475,0.3685185185185185,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Multi-Head DL (MLP),0.225,0.15277777777777776,0.7887500000000001
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Multi-Head DL (TABNET),0.4,0.33477011494252873,0.7271428571428571
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Random Forest,0.9125000000000001,0.9137949039264829,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,SVM (RBF),0.625,0.563722437406648,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Multi-Head DL (MLP),0.5,0.4357904585879414,0.7932142857142858
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_45_to_15Hz,Multi-Head DL (TABNET),0.5625,0.5667392305550201,0.8864285714285715
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,Random Forest,0.95,0.9497161464266728,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,SVM (RBF),0.6499999999999999,0.6151193240454076,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,Multi-Head DL (MLP),0.4750000000000001,0.44312600654512424,0.83125
UOEMD,Diagnosis,Load_Loaded_Speed_Dec_60_to_30Hz,Multi-Head DL (TABNET),0.475,0.4355400696864111,0.8098214285714286
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,Random Forest,0.9624999999999999,0.9624373433583959,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,SVM (RBF),0.7124999999999999,0.6277691444358111,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,Multi-Head DL (MLP),0.45,0.3797846889952153,0.8028571428571429
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_15_to_45Hz,Multi-Head DL (TABNET),0.5125,0.47833017366265446,0.8826785714285714
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Random Forest,0.8500000000000001,0.848215854194115,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,SVM (RBF),0.625,0.5317311362472652,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Multi-Head DL (MLP),0.5499999999999999,0.5334429824561403,0.8632142857142857
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Multi-Head DL (TABNET),0.4,0.37631578947368416,0.8083928571428571
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Random Forest,0.625,0.5189144736842105,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,SVM (RBF),0.8625,0.8208020050125313,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Multi-Head DL (MLP),0.25,0.13333333333333333,0.8575
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Multi-Head DL (TABNET),0.275,0.18253968253968253,0.8360714285714286
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Random Forest,0.7875,0.7336182336182335,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,SVM (RBF),0.65,0.5642857142857143,0.0
